case_name,cycle,mode_comp,ab_sel,d15,d16,effective_error,sign_pos,sign_neg,trim_word
comp_offset,0,1,0,0,1,12,1,0,0
comp_offset,1,1,0,0,1,12,1,0,0
comp_offset,2,1,0,0,1,12,1,0,0
comp_offset,3,1,0,0,1,12,1,0,0
comp_offset,4,1,0,0,1,12,1,0,0
comp_offset,5,1,0,0,1,12,1,0,0
comp_offset,6,1,0,0,1,12,1,0,0
comp_offset,7,1,0,0,1,12,1,0,0
comp_offset,8,1,0,0,1,12,1,0,0
comp_offset,9,1,0,0,1,12,1,0,0
comp_offset,10,1,0,0,1,12,1,0,0
comp_offset,11,1,0,0,1,12,1,0,0
comp_offset,12,1,0,0,1,12,1,0,0
comp_offset,13,1,0,0,1,12,1,0,0
comp_offset,14,1,0,0,1,12,1,0,0
comp_offset,15,1,0,0,1,12,1,0,0
comp_offset,16,1,0,0,1,12,1,0,0
comp_offset,17,1,0,0,1,12,1,0,0
comp_offset,18,1,0,0,1,12,1,0,0
comp_offset,19,1,0,0,1,12,1,0,0
comp_offset,20,1,0,0,1,12,1,0,0
comp_offset,21,1,0,0,1,12,1,0,0
comp_offset,22,1,0,0,1,12,1,0,0
comp_offset,23,1,0,0,1,12,1,0,0
comp_offset,24,1,0,0,1,12,1,0,0
comp_offset,25,1,0,0,1,12,1,0,0
comp_offset,26,1,0,0,1,12,1,0,0
comp_offset,27,1,0,0,1,12,1,0,0
comp_offset,28,1,0,0,1,12,1,0,0
comp_offset,29,1,0,0,1,12,1,0,0
comp_offset,30,1,0,0,1,12,1,0,0
comp_offset,31,1,0,0,1,11,1,0,1
comp_offset,32,1,0,0,1,11,1,0,1
comp_offset,33,1,0,0,1,11,1,0,1
comp_offset,34,1,0,0,1,11,1,0,1
comp_offset,35,1,0,0,1,11,1,0,1
comp_offset,36,1,0,0,1,11,1,0,1
comp_offset,37,1,0,0,1,11,1,0,1
comp_offset,38,1,0,0,1,11,1,0,1
comp_offset,39,1,0,0,1,11,1,0,1
comp_offset,40,1,0,0,1,11,1,0,1
comp_offset,41,1,0,0,1,11,1,0,1
comp_offset,42,1,0,0,1,11,1,0,1
comp_offset,43,1,0,0,1,11,1,0,1
comp_offset,44,1,0,0,1,11,1,0,1
comp_offset,45,1,0,0,1,11,1,0,1
comp_offset,46,1,0,0,1,11,1,0,1
comp_offset,47,1,0,0,1,11,1,0,1
comp_offset,48,1,0,0,1,11,1,0,1
comp_offset,49,1,0,0,1,11,1,0,1
comp_offset,50,1,0,0,1,11,1,0,1
comp_offset,51,1,0,0,1,11,1,0,1
comp_offset,52,1,0,0,1,11,1,0,1
comp_offset,53,1,0,0,1,11,1,0,1
comp_offset,54,1,0,0,1,11,1,0,1
comp_offset,55,1,0,0,1,11,1,0,1
comp_offset,56,1,0,0,1,11,1,0,1
comp_offset,57,1,0,0,1,11,1,0,1
