freq_mhz,dbfs
0.000781,-108.882
0.001562,-113.819
0.002344,-113.478
0.003125,-114.939
0.003906,-111.821
0.004687,-109.368
0.005469,-110.060
0.006250,-99.635
0.007031,-121.549
0.007812,-109.580
0.008594,-115.157
0.009375,-116.528
0.010156,-114.415
0.010937,-109.867
0.011719,-116.480
0.012500,-128.803
0.013281,-114.206
0.014062,-154.555
0.014844,-121.293
0.015625,-106.645
0.016406,-121.952
0.017187,-104.601
0.017969,-107.415
0.018750,-103.032
0.019531,-119.407
0.020312,-107.817
0.021094,-118.628
0.021875,-102.719
0.022656,-114.018
0.023437,-109.893
0.024219,-114.562
0.025000,-120.029
0.025781,-107.145
0.026562,-115.745
0.027344,-109.655
0.028125,-112.430
0.028906,0.000
0.029687,-106.256
0.030469,-107.038
0.031250,-110.954
0.032031,-124.298
0.032812,-120.241
0.033594,-129.005
0.034375,-115.401
0.035156,-114.515
0.035937,-106.848
0.036719,-143.836
0.037500,-130.682
0.038281,-110.862
0.039062,-112.726
0.039844,-115.409
0.040625,-102.644
0.041406,-120.676
0.042187,-117.246
0.042969,-121.522
0.043750,-116.519
0.044531,-120.834
0.045312,-105.814
0.046094,-116.787
0.046875,-105.337
0.047656,-112.220
0.048437,-107.613
0.049219,-112.711
0.050000,-108.881
0.050781,-107.981
0.051562,-110.984
0.052344,-114.322
0.053125,-113.391
0.053906,-110.007
0.054687,-99.259
0.055469,-114.470
0.056250,-106.199
0.057031,-110.166
0.057812,-110.413
0.058594,-119.090
0.059375,-118.402
0.060156,-118.390
0.060937,-105.821
0.061719,-111.780
0.062500,-126.119
0.063281,-111.420
0.064062,-115.772
0.064844,-135.085
0.065625,-111.188
0.066406,-120.548
0.067187,-121.311
0.067969,-106.904
0.068750,-127.953
0.069531,-106.529
0.070312,-106.380
0.071094,-118.416
0.071875,-101.228
0.072656,-106.786
0.073437,-113.661
0.074219,-113.934
0.075000,-121.438
0.075781,-116.755
0.076562,-128.522
0.077344,-116.386
0.078125,-108.378
0.078906,-119.745
0.079687,-111.202
0.080469,-122.799
0.081250,-113.468
0.082031,-113.491
0.082812,-131.983
0.083594,-122.431
0.084375,-120.782
0.085156,-116.558
0.085937,-145.514
0.086719,-105.188
0.087500,-113.261
0.088281,-113.731
0.089062,-118.367
0.089844,-111.747
0.090625,-101.730
0.091406,-113.723
0.092187,-102.465
0.092969,-113.478
0.093750,-120.847
0.094531,-112.671
0.095312,-101.826
0.096094,-113.365
0.096875,-112.588
0.097656,-132.739
0.098437,-126.207
0.099219,-108.809
0.100000,-110.910
0.100781,-124.070
0.101562,-109.091
0.102344,-113.859
0.103125,-128.557
0.103906,-115.251
0.104687,-103.055
0.105469,-114.576
0.106250,-112.527
0.107031,-129.040
0.107812,-110.324
0.108594,-113.632
0.109375,-110.855
0.110156,-144.232
0.110937,-115.037
0.111719,-120.425
0.112500,-121.486
0.113281,-109.087
0.114062,-101.575
0.114844,-127.472
0.115625,-110.014
0.116406,-123.243
0.117187,-128.579
0.117969,-138.712
0.118750,-109.666
0.119531,-148.299
0.120312,-109.765
0.121094,-114.604
0.121875,-128.831
0.122656,-111.129
0.123437,-113.199
0.124219,-114.237
0.125000,-105.272
0.125781,-117.785
0.126562,-108.478
0.127344,-115.775
0.128125,-113.999
0.128906,-123.867
0.129687,-125.858
0.130469,-108.196
0.131250,-118.148
0.132031,-144.078
0.132812,-125.278
0.133594,-116.141
0.134375,-104.803
0.135156,-105.200
0.135937,-116.861
0.136719,-107.771
0.137500,-123.229
0.138281,-116.919
0.139062,-106.132
0.139844,-117.642
0.140625,-115.771
0.141406,-114.327
0.142187,-108.987
0.142969,-128.749
0.143750,-106.600
0.144531,-110.309
0.145312,-108.684
0.146094,-112.941
0.146875,-117.334
0.147656,-109.774
0.148437,-119.499
0.149219,-104.574
0.150000,-105.345
0.150781,-124.262
0.151562,-120.295
0.152344,-113.324
0.153125,-107.285
0.153906,-120.139
0.154687,-114.516
0.155469,-144.591
0.156250,-123.855
0.157031,-128.242
0.157812,-123.810
0.158594,-114.241
0.159375,-103.992
0.160156,-111.128
0.160937,-105.372
0.161719,-134.291
0.162500,-123.913
0.163281,-115.004
0.164062,-109.310
0.164844,-123.639
0.165625,-125.546
0.166406,-122.331
0.167187,-121.073
0.167969,-113.401
0.168750,-105.070
0.169531,-103.896
0.170312,-113.664
0.171094,-130.794
0.171875,-123.147
0.172656,-111.018
0.173437,-117.243
0.174219,-106.642
0.175000,-107.461
0.175781,-111.857
0.176562,-116.646
0.177344,-114.132
