cycle,channel,mode_comp,ab_sel,d15,d16,error
42,1,0,0,1,0,3069
62,5,1,1,0,0,-5
69,5,1,0,0,0,-5
169,2,0,0,1,0,3581
192,3,0,1,1,0,3773
198,1,0,1,1,0,3005
257,1,0,0,1,0,3069
319,5,1,1,1,0,-5
323,4,0,0,1,0,3964
498,2,0,0,1,0,3581
501,4,0,1,1,0,3900
604,3,0,0,1,0,3836
708,5,1,0,1,0,-5
768,3,0,1,1,0,3773
835,3,0,1,1,0,3773
842,5,1,1,1,0,-5
875,2,0,0,1,0,3581
939,5,1,1,1,0,-5
1091,2,0,1,1,0,3517
1133,0,0,0,1,0,4094
1184,2,0,1,1,0,3517
1348,4,0,1,1,0,3900
1395,5,1,1,1,0,-5
1445,0,0,0,1,0,4094
1592,3,0,1,1,0,3773
1851,5,1,1,1,0,-5
1855,3,0,1,1,0,3773
1885,5,1,0,1,0,-5
1952,3,0,1,1,0,3773
2079,1,0,0,1,0,3069
2101,3,0,0,1,0,3836
2179,1,0,0,1,0,3069
2209,5,1,0,1,0,-5
2240,1,0,1,1,0,3005
2325,2,0,1,1,0,3517
2565,1,0,0,1,0,3069
2587,5,1,0,0,0,-5
2651,3,0,0,1,0,3836
2673,2,0,0,1,0,3581
2689,1,0,0,1,0,3069
2725,5,1,1,1,0,-5
2760,2,0,1,1,0,3517
2795,4,0,0,1,0,3964
2817,1,0,1,1,0,3005
2992,5,1,1,0,0,-5
3088,3,0,0,1,0,3836
3103,2,0,1,1,0,3517
3157,5,1,1,1,0,-5
3207,1,0,0,1,0,3069
3339,3,0,1,1,0,3773
3472,0,0,1,1,0,4028
3478,1,0,1,1,0,3005
3629,1,0,1,1,0,3005
3738,3,0,1,1,0,3773
3806,4,0,1,1,0,3900
3848,0,0,0,1,0,4094
4091,1,0,1,1,0,3005
4121,2,0,0,1,0,3581
4260,3,0,0,1,0,3836
4306,3,0,1,1,0,3773
4361,4,0,1,1,0,3900
4434,3,0,0,1,0,3836
4452,0,0,1,1,0,4028
4517,4,0,1,1,0,3900
4563,0,0,1,1,0,4028
4596,3,0,1,1,0,3773
4613,5,1,1,1,0,-5
4778,1,0,1,1,0,3005
4787,3,0,1,1,0,3773
4835,4,0,0,1,0,3964
4842,5,1,0,1,0,-5
4868,4,0,1,1,0,3900
4877,0,0,0,1,0,4094
5071,5,1,1,1,0,-5
5085,5,1,1,1,0,-5
5091,2,0,0,1,0,3581
5133,2,0,1,1,0,3517
5201,1,0,1,1,0,3005
