cycle,channel,mode_comp,ab_sel,d15,d16,error
5231,5,1,1,0,0,-5
5432,2,0,0,1,0,3581
5526,3,0,1,1,0,3773
5825,2,0,1,1,0,3517
5918,5,1,0,1,0,-5
5931,0,0,0,1,0,4094
5955,1,0,1,1,0,3005
6293,2,0,0,1,0,3581
6358,2,0,0,1,0,3581
6424,3,0,1,1,0,3773
6564,2,0,1,1,0,3517
6571,5,1,1,0,0,-5
6609,2,0,0,1,0,3581
6629,5,1,1,1,0,-5
6647,1,0,0,1,0,3069
6668,5,1,1,0,0,-5
6723,4,0,1,1,0,3900
6765,2,0,1,1,0,3517
6807,2,0,1,1,0,3517
6828,5,1,0,1,0,-5
6996,0,0,1,1,0,4028
7135,1,0,0,1,0,3069
7160,4,0,0,1,0,3964
7318,2,0,1,1,0,3517
7373,2,0,1,1,0,3517
7379,2,0,0,1,0,3581
7386,5,1,0,0,0,-5
7441,0,0,1,1,0,4028
7478,0,0,0,1,0,4094
7500,2,0,1,1,0,3517
7513,5,1,0,0,0,-5
7534,4,0,1,1,0,3900
7576,1,0,1,1,0,3005
7582,1,0,1,1,0,3005
7700,2,0,0,1,0,3581
7725,0,0,1,1,0,4028
7810,2,0,1,1,0,3517
7817,5,1,1,0,0,-5
7917,5,1,0,1,0,-5
7954,3,0,0,1,0,3836
7958,3,0,1,1,0,3773
7968,3,0,1,1,0,3773
7975,5,1,0,1,0,-5
8144,2,0,0,1,0,3581
8147,4,0,1,1,0,3900
8171,4,0,1,1,0,3900
8393,5,1,1,1,0,-5
8439,0,0,0,1,0,4094
8481,4,0,0,1,0,3964
8654,3,0,0,1,0,3836
8704,0,0,0,1,0,4094
8792,0,0,1,1,0,4028
8834,4,0,1,1,0,3900
8866,3,0,0,1,0,3836
8870,4,0,0,1,0,3964
8912,1,0,1,1,0,3005
8939,1,0,1,1,0,3005
8951,4,0,1,1,0,3900
8980,5,1,0,1,0,-5
9048,4,0,1,1,0,3900
9090,2,0,0,1,0,3581
9156,2,0,1,1,0,3517
9342,0,0,0,1,0,4094
9437,1,0,0,1,0,3069
9464,0,0,0,1,0,4094
9479,5,1,1,1,0,-5
9635,3,0,1,1,0,3773
9652,5,1,0,1,0,-5
9689,5,1,0,0,0,-5
9732,4,0,0,1,0,3964
9763,5,1,0,1,0,-5
9797,1,0,1,1,0,3005
9806,3,0,0,1,0,3836
9810,4,0,0,1,0,3964
9851,1,0,0,1,0,3069
9999,1,0,1,1,0,3005
10008,2,0,0,1,0,3581
10156,3,0,0,1,0,3836
10230,1,0,1,1,0,3005
10262,2,0,1,1,0,3517
10367,2,0,0,1,0,3581
10527,5,1,0,1,0,-5
10602,1,0,0,1,0,3069
10696,0,0,1,1,0,4028
10735,0,0,1,1,0,4028
10754,5,1,1,0,0,-5
10881,1,0,0,1,0,3069
10954,5,1,0,0,0,-5
10969,0,0,0,1,0,4094
11275,5,1,0,0,0,-5
11417,1,0,1,1,0,3005
11470,5,1,0,1,0,-5
11638,4,0,1,1,0,3900
11679,1,0,0,1,0,3069
11744,5,1,0,1,0,-5
11765,5,1,0,1,0,-5
11808,0,0,0,1,0,4094
11837,4,0,0,1,0,3964
11842,2,0,1,1,0,3517
11849,5,1,0,0,0,-5
11884,1,0,1,1,0,3005
11940,5,1,1,1,0,-5
12067,5,1,1,0,0,-5
12236,5,1,1,0,0,-5
12318,2,0,0,1,0,3581
12399,3,0,1,1,0,3773
12477,4,0,1,1,0,3900
12596,5,1,1,1,0,-5
12633,0,0,1,1,0,4028
12800,0,0,1,1,0,4028
12815,1,0,0,1,0,3070
12854,1,0,1,1,0,3005
12906,5,1,1,0,0,-5
12951,0,0,1,1,0,4028
12974,3,0,1,1,0,3773
13032,2,0,0,1,0,3581
13051,5,1,0,1,0,-5
13090,5,1,1,1,0,-5
13155,3,0,1,1,0,3773
13194,4,0,1,1,0,3900
13332,5,1,1,0,0,-5
13339,5,1,0,0,0,-5
13416,3,0,1,1,0,3773
13481,5,1,0,1,0,-5
13511,3,0,0,1,0,3836
13547,5,1,0,0,0,-5
13596,0,0,1,1,0,4028
13704,2,0,0,1,0,3581
13732,1,0,0,1,0,3070
13929,1,0,1,1,0,3005
13965,3,0,0,1,0,3836
14103,3,0,1,1,0,3773
14110,5,1,0,1,0,-5
14226,1,0,0,1,0,3070
14249,0,0,0,1,0,4094
14283,2,0,0,1,0,3581
14301,2,0,0,1,0,3581
14432,5,1,0,0,0,-5
14465,2,0,1,1,0,3517
14619,5,1,1,1,0,-5
14647,0,0,1,1,0,4028
14666,5,1,0,1,0,-5
14706,3,0,1,1,0,3773
14886,1,0,0,1,0,3070
14899,5,1,1,0,0,-5
14928,1,0,0,1,0,3070
14945,1,0,0,1,0,3070
15070,5,1,0,0,0,-5
15104,0,0,0,1,0,4094
15188,5,1,0,1,0,-5
15213,5,1,1,0,0,-5
15235,0,0,0,1,0,4094
15339,0,0,1,1,0,4028
15364,3,0,0,1,0,3836
15439,0,0,0,1,0,4094
15562,2,0,1,1,0,3517
15853,5,1,1,1,0,-5
15877,5,1,0,0,0,-5
15958,4,0,0,1,0,3964
16127,1,0,0,1,0,3070
16134,5,1,0,1,0,-5
16146,2,0,0,1,0,3581
16164,3,0,1,1,0,3773
16259,5,1,1,0,0,-5
16287,3,0,0,1,0,3836
16495,0,0,1,1,0,4028
16787,5,1,1,0,0,-5
16808,5,1,0,1,0,-5
16837,4,0,0,1,0,3964
16879,2,0,0,1,0,3581
17103,2,0,0,1,0,3581
17344,5,1,0,0,0,-5
17436,3,0,1,1,0,3773
17446,0,0,1,1,0,4028
17587,5,1,0,0,0,-5
17739,0,0,1,1,0,4028
17751,4,0,0,1,0,3964
17815,4,0,0,1,0,3964
17836,1,0,1,1,0,3005
17886,2,0,0,1,0,3581
17982,2,0,0,1,0,3581
17985,4,0,1,1,0,3900
18016,5,1,1,1,0,-5
18062,5,1,1,1,0,-5
18212,5,1,0,1,0,-5
18246,0,0,1,1,0,4028
18383,1,0,0,1,0,3070
18390,5,1,0,1,0,-5
18469,5,1,0,0,0,-5
18474,2,0,1,1,0,3517
18522,4,0,0,1,0,3964
18773,4,0,0,1,0,3964
18785,5,1,0,0,0,-5
18856,2,0,1,1,0,3517
18884,4,0,0,1,0,3964
18891,5,1,1,1,0,-5
19025,3,0,0,1,0,3836
19035,0,0,0,1,0,4094
19085,3,0,0,1,0,3836
19141,5,1,1,0,0,-5
19148,5,1,0,0,0,-5
19194,0,0,1,1,0,4028
19355,2,0,1,1,0,3517
19384,0,0,1,1,0,4028
19463,3,0,1,1,0,3773
19630,0,0,1,1,0,4028
19654,1,0,0,1,0,3070
19714,5,1,0,0,0,-5
19866,3,0,0,1,0,3836
20101,0,0,1,1,0,4028
20167,4,0,1,1,0,3900
20187,1,0,0,1,0,3070
20254,3,0,1,1,0,3773
20379,5,1,1,0,0,-5
20404,5,1,1,1,0,-5
20581,5,1,0,1,0,-5
20667,4,0,0,1,0,3964
20880,1,0,0,1,0,3070
21049,5,1,1,1,0,-5
21174,2,0,0,1,0,3581
21266,5,1,0,1,0,-5
21271,3,0,0,1,0,3836
21388,2,0,0,1,0,3581
21415,5,1,0,1,0,-5
21440,5,1,0,0,0,-5
21508,3,0,0,1,0,3836
21518,1,0,0,1,0,3070
21603,3,0,0,1,0,3836
21640,1,0,0,1,0,3070
21712,4,0,1,1,0,3900
21739,3,0,0,1,0,3836
21879,5,1,1,0,0,-5
22047,2,0,1,1,0,3517
22060,1,0,1,1,0,3005
22219,0,0,1,1,0,4028
22239,5,1,1,1,0,-5
22342,3,0,1,1,0,3773
22415,1,0,1,1,0,3005
22475,1,0,1,1,0,3005
22507,0,0,1,1,0,4028
22635,0,0,1,1,0,4028
22652,4,0,1,1,0,3900
22661,3,0,1,1,0,3773
22732,2,0,1,1,0,3517
22849,1,0,1,1,0,3005
22891,4,0,0,1,0,3964
22958,0,0,1,1,0,4028
23044,4,0,0,1,0,3964
23145,1,0,0,1,0,3070
23220,0,0,1,1,0,4028
23256,4,0,0,1,0,3964
23288,0,0,0,1,0,4094
23390,3,0,0,1,0,3836
23423,5,1,0,0,0,-5
23466,2,0,0,1,0,3581
23521,3,0,0,1,0,3836
23531,3,0,0,1,0,3836
23535,3,0,1,1,0,3773
23585,1,0,0,1,0,3070
23626,5,1,1,0,0,-5
23745,5,1,0,0,0,-5
23795,3,0,0,1,0,3836
23799,4,0,0,1,0,3964
23875,4,0,0,1,0,3964
23954,2,0,0,1,0,3581
24037,1,0,1,1,0,3005
24128,2,0,0,1,0,3581
24212,0,0,1,1,0,4028
24367,5,1,0,0,0,-5
24391,5,1,0,1,0,-5
24404,1,0,0,1,0,3070
24504,0,0,1,1,0,4028
24552,0,0,0,1,0,4094
24778,1,0,1,1,0,3005
24790,4,0,1,1,0,3900
25011,3,0,0,1,0,3836
25086,1,0,1,1,0,3005
25146,2,0,1,1,0,3517
25176,2,0,1,1,0,3517
25218,2,0,0,1,0,3581
25271,5,1,0,1,0,-5
25283,0,0,0,1,0,4094
25363,2,0,1,1,0,3517
25400,0,0,1,1,0,4028
25417,4,0,0,1,0,3964
25453,0,0,1,1,0,4028
25598,5,1,1,0,0,-5
25650,2,0,1,1,0,3517
25847,0,0,0,1,0,4094
25855,0,0,1,1,0,4028
25880,5,1,0,1,0,-5
25902,0,0,1,1,0,4028
25919,2,0,1,1,0,3517
26015,0,0,0,1,0,4094
26068,5,1,1,0,0,-5
26125,4,0,1,1,0,3900
26163,5,1,1,0,0,-5
26236,0,0,0,1,0,4094
26256,0,0,1,1,0,4028
26306,5,1,0,0,0,-5
26340,5,1,0,0,0,-5
26354,0,0,0,1,0,4094
26499,0,0,1,1,0,4028
26531,4,0,1,1,0,3900
26551,1,0,1,1,0,3005
26595,0,0,0,1,0,4094
26625,4,0,1,1,0,3900
26724,5,1,0,1,0,-5
26759,5,1,0,1,0,-5
26851,3,0,0,1,0,3836
26887,1,0,1,1,0,3005
26911,4,0,0,1,0,3964
26938,5,1,1,0,0,-5
27020,2,0,0,1,0,3581
27038,0,0,0,1,0,4094
27091,4,0,0,1,0,3964
27108,4,0,0,1,0,3964
27158,5,1,0,0,0,-5
27411,1,0,0,1,0,3070
27418,5,1,1,1,0,-5
27476,1,0,0,1,0,3070
27559,4,0,1,1,0,3900
27664,0,0,1,1,0,4028
27670,2,0,0,1,0,3581
27816,5,1,0,0,0,-5
27957,5,1,0,1,0,-5
27962,3,0,0,1,0,3836
28014,1,0,0,1,0,3070
28067,3,0,0,1,0,3836
28071,3,0,1,1,0,3773
28209,0,0,0,1,0,4094
28245,5,1,1,0,0,-5
28332,5,1,1,1,0,-5
28336,3,0,1,1,0,3773
28346,5,1,1,1,0,-5
28411,1,0,1,1,0,3005
28420,1,0,0,1,0,3070
28444,1,0,0,1,0,3070
28488,4,0,1,1,0,3900
28497,1,0,0,1,0,3070
28649,1,0,0,1,0,3070
28783,2,0,1,1,0,3517
28831,2,0,0,1,0,3581
28852,3,0,0,1,0,3836
29055,5,1,0,1,0,-5
29345,3,0,0,1,0,3836
29571,5,1,0,1,0,-5
29987,5,1,0,0,0,-5
30135,1,0,1,1,0,3005
30340,2,0,1,1,0,3517
30347,5,1,0,0,0,-5
30359,1,0,0,1,0,3070
30453,5,1,0,0,0,-5
30830,5,1,1,1,0,-5
30884,3,0,0,1,0,3836
30952,5,1,1,0,0,-5
31085,1,0,1,1,0,3005
31100,2,0,0,1,0,3581
31354,3,0,1,1,0,3773
31404,4,0,0,1,0,3964
31411,5,1,0,1,0,-5
31635,1,0,1,1,0,3005
32061,2,0,1,1,0,3517
32114,5,1,1,0,0,-5
32139,3,0,0,1,0,3836
32211,1,0,1,1,0,3005
32271,4,0,1,1,0,3900
32328,4,0,0,1,0,3964
32333,2,0,1,1,0,3517
32347,5,1,0,1,0,-5
32374,1,0,0,1,0,3070
32456,5,1,1,1,0,-5
32585,5,1,0,1,0,-5
32675,5,1,0,1,0,-5
32698,5,1,0,0,0,-5
32774,3,0,0,1,0,3836
32778,4,0,0,1,0,3964
32791,5,1,1,1,0,-5
32823,0,0,1,1,0,4028
33040,5,1,0,1,0,-5
33091,4,0,1,1,0,3900
33280,5,1,0,0,0,-5
33350,5,1,0,1,0,-5
33422,0,0,0,1,0,4094
33491,5,1,1,0,0,-5
33569,3,0,0,1,0,3836
33603,0,0,0,1,0,4094
33635,5,1,1,0,0,-5
33745,4,0,1,1,0,3900
33795,2,0,0,1,0,3581
33963,0,0,0,1,0,4094
33976,2,0,1,1,0,3517
33989,0,0,1,1,0,4028
34003,2,0,0,1,0,3581
34091,4,0,1,1,0,3900
34138,5,1,0,1,0,-5
34150,1,0,0,1,0,3070
34188,2,0,0,1,0,3581
34272,4,0,1,1,0,3900
34298,0,0,1,1,0,4028
34543,5,1,1,0,0,-5
34780,4,0,0,1,0,3964
34833,0,0,1,1,0,4028
34850,3,0,1,1,0,3773
34868,0,0,1,1,0,4028
34881,3,0,0,1,0,3836
35058,2,0,0,1,0,3581
35070,5,1,1,1,0,-5
35100,1,0,1,1,0,3005
35118,3,0,1,1,0,3773
35193,0,0,0,1,0,4094
35295,0,0,1,1,0,4028
35325,4,0,0,1,0,3964
35423,2,0,0,1,0,3581
35464,1,0,0,1,0,3070
35527,4,0,1,1,0,3900
35630,4,0,0,1,0,3964
35772,0,0,0,1,0,4094
35835,0,0,0,1,0,4094
36054,5,1,1,0,0,-5
36106,0,0,1,1,0,4028
36118,4,0,0,1,0,3964
36264,2,0,0,1,0,3581
36276,5,1,1,1,0,-5
36455,4,0,1,1,0,3900
36560,2,0,1,1,0,3517
36584,4,0,0,1,0,3964
36591,5,1,1,1,0,-5
36631,3,0,1,1,0,3773
36689,3,0,1,1,0,3773
36705,1,0,1,1,0,3005
36728,1,0,0,1,0,3070
36813,5,1,0,0,0,-5
36866,5,1,1,1,0,-5
36926,5,1,1,1,0,-5
37129,4,0,1,1,0,3900
37164,0,0,1,1,0,4028
37285,0,0,0,1,0,4094
37394,5,1,0,1,0,-5
37496,2,0,1,1,0,3517
37672,5,1,0,0,0,-5
37680,0,0,1,1,0,4028
37694,2,0,0,1,0,3581
37701,5,1,0,0,0,-5
37792,2,0,1,1,0,3517
37878,4,0,0,1,0,3964
37958,5,1,1,1,0,-5
38023,1,0,0,1,0,3070
38163,5,1,1,0,0,-5
38274,0,0,1,1,0,4028
38360,3,0,1,1,0,3773
38376,1,0,1,1,0,3005
38385,1,0,1,1,0,3005
38412,1,0,0,1,0,3070
38530,1,0,0,1,0,3070
38617,5,1,1,1,0,-5
38694,3,0,0,1,0,3836
38736,2,0,0,1,0,3581
38781,2,0,1,1,0,3517
38810,4,0,1,1,0,3900
39083,2,0,1,1,0,3517
39156,4,0,1,1,0,3900
39162,1,0,1,1,0,3005
39317,2,0,1,1,0,3517
39369,2,0,0,1,0,3581
39456,5,1,1,1,0,-5
39532,3,0,1,1,0,3773
39574,4,0,0,1,0,3964
39628,1,0,1,1,0,3005
39642,3,0,0,1,0,3836
39675,0,0,1,1,0,4028
39713,5,1,1,0,0,-5
39750,5,1,1,1,0,-5
39834,4,0,0,1,0,3964
39984,5,1,1,1,0,-5
40014,5,1,1,0,0,-5
40075,1,0,1,1,0,3005
40283,0,0,1,1,0,4028
40298,1,0,0,1,0,3070
40479,4,0,1,1,0,3900
40541,5,1,1,0,0,-5
40603,5,1,1,1,0,-5
40607,4,0,0,1,0,3964
40758,2,0,0,1,0,3581
40865,2,0,0,1,0,3581
40997,3,0,0,1,0,3836
41007,5,1,0,0,0,-5
41034,1,0,1,1,0,3005
41244,4,0,0,1,0,3964
41319,5,1,1,1,0,-5
41369,5,1,0,1,0,-5
41472,3,0,0,1,0,3836
41476,3,0,1,1,0,3773
41482,2,0,0,1,0,3581
41503,5,1,0,0,0,-5
41599,5,1,0,0,0,-5
41647,3,0,0,1,0,3836
41942,2,0,0,1,0,3581
42097,0,0,0,1,0,4094
42110,2,0,1,1,0,3517
42191,0,0,0,1,0,4094
42295,2,0,1,1,0,3517
42378,3,0,1,1,0,3773
42432,4,0,1,1,0,3900
42438,2,0,0,1,0,3581
42441,4,0,1,1,0,3900
42492,5,1,0,0,0,-5
42577,4,0,0,1,0,3964
42594,3,0,0,1,0,3836
42604,4,0,0,1,0,3964
42663,0,0,0,1,0,4094
42913,5,1,1,0,0,-5
42941,0,0,0,1,0,4094
42969,5,1,1,0,0,-5
43080,5,1,1,1,0,-5
43113,1,0,0,1,0,3070
43120,5,1,1,1,0,-5
43215,2,0,0,1,0,3581
43218,4,0,1,1,0,3900
43307,1,0,1,1,0,3005
43374,4,0,0,1,0,3964
43416,2,0,1,1,0,3517
43835,5,1,0,0,0,-5
44163,4,0,1,1,0,3900
44263,3,0,1,1,0,3773
44637,5,1,1,1,0,-5
44644,5,1,1,0,0,-5
44700,4,0,1,1,0,3900
44721,1,0,0,1,0,3070
44889,0,0,0,1,0,4094
44904,5,1,1,0,0,-5
44974,5,1,0,1,0,-5
45090,4,0,1,1,0,3900
45146,5,1,1,1,0,-5
45193,5,1,1,1,0,-5
45280,2,0,1,1,0,3517
45347,5,1,1,0,0,-5
45443,0,0,0,1,0,4094
45503,0,0,1,1,0,4028
45567,3,0,1,1,0,3773
45574,5,1,1,1,0,-5
45617,0,0,0,1,0,4094
45719,2,0,1,1,0,3517
45764,4,0,0,1,0,3964
45769,3,0,0,1,0,3836
45823,3,0,0,1,0,3836
45845,0,0,1,1,0,4028
45913,1,0,0,1,0,3070
45947,5,1,1,1,0,-5
46039,5,1,1,1,0,-5
46058,1,0,1,1,0,3005
46196,5,1,1,0,0,-5
46271,5,1,0,0,0,-5
46352,4,0,0,1,0,3964
46390,3,0,1,1,0,3773
46414,0,0,0,1,0,4094
46503,1,0,1,1,0,3005
46579,5,1,0,0,0,-5
46602,4,0,1,1,0,3900
46871,4,0,1,1,0,3900
46922,5,1,1,1,0,-5
46926,4,0,0,1,0,3964
47290,5,1,0,1,0,-5
47303,0,0,0,1,0,4094
47318,5,1,1,1,0,-5
47322,3,0,1,1,0,3773
47438,0,0,0,1,0,4094
47690,3,0,0,1,0,3836
47707,5,1,0,0,0,-5
47880,0,0,1,1,0,4028
48048,5,1,1,1,0,-5
48107,4,0,1,1,0,3900
48190,5,1,0,1,0,-5
48264,2,0,1,1,0,3517
48297,5,1,1,1,0,-5
48321,3,0,0,1,0,3836
48391,0,0,0,1,0,4094
48414,0,0,0,1,0,4094
48445,2,0,1,1,0,3517
48541,3,0,0,1,0,3836
48583,1,0,1,1,0,3005
48635,5,1,0,1,0,-5
48711,5,1,0,0,0,-5
48821,5,1,0,0,0,-5
48911,5,1,0,1,0,-5
49169,1,0,1,1,0,3005
49217,3,0,0,1,0,3836
49398,3,0,0,1,0,3836
49439,1,0,0,1,0,3070
49471,5,1,1,0,0,-5
49625,3,0,0,1,0,3836
49642,5,1,0,1,0,-5
49697,5,1,1,0,0,-5
49776,4,0,0,1,0,3964
49920,5,1,0,1,0,-5
49960,5,1,1,1,0,-5
50015,5,1,0,1,0,-5
50074,5,1,1,1,0,-5
50177,5,1,1,0,0,-5
50203,3,0,1,1,0,3773
50213,4,0,1,1,0,3900
50231,1,0,0,1,0,3070
50324,1,0,0,1,0,3070
50357,3,0,0,1,0,3837
50367,5,1,1,0,0,-5
50374,5,1,1,0,0,-5
50399,2,0,1,1,0,3517
50489,5,1,0,0,0,-5
50494,2,0,1,1,0,3517
50507,0,0,1,1,0,4029
50545,2,0,1,1,0,3517
50693,4,0,0,1,0,3965
50847,5,1,1,1,0,-5
50912,5,1,0,0,0,-5
50990,5,1,0,0,0,-5
51044,5,1,1,1,0,-5
51078,4,0,1,1,0,3901
51087,3,0,0,1,0,3837
51188,5,1,0,0,0,-5
51272,5,1,0,0,0,-5
51448,1,0,0,1,0,3070
51587,3,0,0,1,0,3837
51721,1,0,1,1,0,3005
51741,5,1,1,0,0,-5
51760,1,0,0,1,0,3070
51860,3,0,0,1,0,3837
51893,1,0,1,1,0,3005
51902,0,0,0,1,0,4094
52073,3,0,1,1,0,3773
52114,5,1,0,0,0,-5
52169,4,0,0,1,0,3965
52294,1,0,1,1,0,3005
52348,3,0,0,1,0,3837
52398,4,0,0,1,0,3965
52534,0,0,1,1,0,4029
52551,3,0,0,1,0,3837
52630,3,0,0,1,0,3837
52645,2,0,1,1,0,3517
52664,1,0,1,1,0,3005
52951,5,1,0,1,0,-5
52964,1,0,0,1,0,3070
53101,2,0,0,1,0,3581
53243,0,0,0,1,0,4094
53316,4,0,1,1,0,3901
53338,5,1,0,1,0,-5
53364,4,0,1,1,0,3901
53401,0,0,0,1,0,4094
53416,5,1,1,0,0,-5
53423,5,1,1,0,0,-5
53488,2,0,1,1,0,3517
53658,5,1,0,1,0,-5
53840,1,0,0,1,0,3070
53902,2,0,1,1,0,3517
54027,1,0,1,1,0,3005
54042,2,0,0,1,0,3581
54067,2,0,0,1,0,3581
54086,5,1,1,1,0,-5
54093,5,1,1,0,0,-5
54118,5,1,0,1,0,-5
54243,5,1,0,1,0,-5
54295,4,0,0,1,0,3965
54316,1,0,0,1,0,3070
54360,2,0,1,1,0,3517
54520,3,0,1,1,0,3773
54530,2,0,1,1,0,3517
54621,5,1,0,1,0,-5
54688,0,0,1,1,0,4029
54783,5,1,1,0,0,-5
54790,5,1,0,0,0,-5
54914,1,0,1,1,0,3005
54927,4,0,0,1,0,3965
55054,2,0,1,1,0,3517
55263,5,1,1,1,0,-5
55381,3,0,0,1,0,3837
55426,5,1,0,0,0,-5
55438,0,0,0,1,0,4094
55659,3,0,1,1,0,3773
55725,4,0,0,1,0,3965
55742,2,0,1,1,0,3517
55748,1,0,1,1,0,3005
55828,3,0,1,1,0,3773
55854,2,0,0,1,0,3581
55861,5,1,1,0,0,-5
55904,2,0,0,1,0,3581
55911,5,1,1,0,0,-5
55946,2,0,0,1,0,3581
55949,4,0,1,1,0,3901
55970,1,0,1,1,0,3005
55988,0,0,0,1,0,4094
56023,4,0,1,1,0,3901
56056,3,0,1,1,0,3773
56104,2,0,0,1,0,3581
56136,5,1,1,1,0,-5
56140,4,0,0,1,0,3965
56157,4,0,1,1,0,3901
56166,2,0,0,1,0,3581
56520,3,0,1,1,0,3773
56547,0,0,0,1,0,4094
56566,0,0,0,1,0,4094
56596,0,0,1,1,0,4029
56668,1,0,0,1,0,3070
56681,5,1,1,0,0,-5
56756,3,0,1,1,0,3773
56922,0,0,1,1,0,4029
56930,0,0,1,1,0,4029
56943,3,0,0,1,0,3837
57085,5,1,0,1,0,-5
57123,5,1,0,0,0,-5
57137,0,0,0,1,0,4094
57220,5,1,0,1,0,-5
57305,2,0,1,1,0,3517
57375,2,0,0,1,0,3581
57391,1,0,0,1,0,3070
57429,4,0,1,1,0,3901
57629,0,0,0,1,0,4094
57692,1,0,1,1,0,3005
57710,2,0,0,1,0,3581
57778,4,0,0,1,0,3965
57783,3,0,0,1,0,3837
57806,4,0,1,1,0,3901
57815,4,0,0,1,0,3965
57861,5,1,1,0,0,-5
57867,1,0,1,1,0,3005
57959,4,0,0,1,0,3965
58083,4,0,1,1,0,3901
58182,5,1,0,0,0,-5
58197,4,0,1,1,0,3901
58249,5,1,0,1,0,-5
58319,3,0,1,1,0,3773
58392,5,1,1,0,0,-5
58598,0,0,1,1,0,4029
58615,0,0,0,1,0,4094
58872,0,0,1,1,0,4029
58955,5,1,0,0,0,-5
58961,1,0,1,1,0,3005
58967,2,0,0,1,0,3581
58970,4,0,1,1,0,3901
59034,3,0,0,1,0,3837
59122,0,0,1,1,0,4029
59153,4,0,1,1,0,3901
59191,2,0,1,1,0,3517
59244,4,0,0,1,0,3965
59309,3,0,1,1,0,3773
59393,3,0,1,1,0,3773
59453,0,0,0,1,0,4094
59540,5,1,1,1,0,-5
59633,3,0,1,1,0,3773
59810,0,0,1,1,0,4029
59839,5,1,1,1,0,-5
60050,3,0,1,1,0,3773
60409,5,1,1,1,0,-4
60478,5,1,1,1,0,-4
60552,4,0,0,1,0,3965
60642,0,0,0,1,0,4094
60866,3,0,1,1,0,3773
61034,4,0,1,1,0,3901
61155,1,0,1,1,0,3005
61206,5,1,0,1,0,-4
61263,5,1,1,0,0,-4
61294,4,0,0,1,0,3965
61323,1,0,0,1,0,3070
61373,5,1,0,1,0,-4
61420,0,0,1,1,0,4029
61459,3,0,1,1,0,3773
61476,5,1,1,0,0,-4
61619,3,0,1,1,0,3773
61739,5,1,0,1,0,-4
61745,2,0,0,1,0,3581
61825,1,0,0,1,0,3070
61853,1,0,0,1,0,3070
61971,4,0,1,1,0,3901
61980,1,0,1,1,0,3005
61994,3,0,0,1,0,3837
62235,1,0,0,1,0,3070
62275,4,0,0,1,0,3965
62294,5,1,1,0,0,-4
62411,3,0,1,1,0,3773
62555,5,1,1,1,0,-4
62596,3,0,1,1,0,3773
62606,1,0,1,1,0,3005
62677,0,0,1,1,0,4029
62748,1,0,1,1,0,3005
62757,2,0,1,1,0,3517
62770,1,0,1,1,0,3005
62779,4,0,0,1,0,3965
62796,0,0,0,1,0,4094
62865,4,0,1,1,0,3901
63104,1,0,0,1,0,3070
63184,0,0,0,1,0,4094
63409,2,0,1,1,0,3517
63585,5,1,1,0,0,-4
63628,4,0,0,1,0,3965
63678,5,1,1,1,0,-4
63700,4,0,0,1,0,3965
