freq_mhz,dbfs
0.000781,-98.333
0.001562,-106.974
0.002344,-104.233
0.003125,-115.721
0.003906,-102.451
0.004688,-109.096
0.005469,-100.173
0.00625,-87.747
0.007031,-115.566
0.007812,-98.079
0.008594,-113.8
0.009375,-101.292
0.010156,-101.459
0.010938,-99.085
0.011719,-115.425
0.0125,-108.841
0.013281,-104.352
0.014062,-122.282
0.014844,-109.22
0.015625,-94.744
0.016406,-119.914
0.017188,-92.54
0.017969,-98.346
0.01875,-91.287
0.019531,-113.437
0.020312,-101.105
0.021094,-106.08
0.021875,-91.435
0.022656,-104.061
0.023438,-98.798
0.024219,-105.575
0.025,-102.271
0.025781,-100.692
0.026563,-115.951
0.027344,-102.288
0.028125,-101.558
0.028906,0.0
0.029688,-94.434
0.030469,-98.37
0.03125,-99.437
0.032031,-111.297
0.032812,-101.983
0.033594,-106.829
0.034375,-102.115
0.035156,-105.918
0.035938,-95.929
0.036719,-119.467
0.0375,-107.466
0.038281,-101.73
0.039062,-97.365
0.039844,-104.481
0.040625,-93.132
0.041406,-117.106
0.042188,-111.405
0.042969,-106.265
0.04375,-123.097
0.044531,-103.157
0.045313,-98.023
0.046094,-105.775
0.046875,-98.4
0.047656,-112.543
0.048438,-95.293
0.049219,-101.842
0.05,-96.936
0.050781,-99.679
0.051563,-113.235
0.052344,-103.773
0.053125,-112.014
0.053906,-98.969
0.054688,-89.133
0.055469,-104.437
0.05625,-97.192
0.057031,-103.886
0.057812,-98.386
0.058594,-104.661
0.059375,-112.926
0.060156,-108.857
0.060938,-95.598
0.061719,-104.802
0.0625,-119.842
0.063281,-100.264
0.064063,-113.104
0.064844,-109.835
0.065625,-100.077
0.066406,-107.558
0.067188,-104.318
0.067969,-98.128
0.06875,-116.325
0.069531,-97.926
0.070312,-94.577
0.071094,-111.844
0.071875,-92.717
0.072656,-96.849
0.073438,-98.895
0.074219,-102.679
0.075,-107.828
0.075781,-107.73
0.076562,-112.76
0.077344,-108.188
0.078125,-95.05
0.078906,-119.039
0.079688,-99.381
0.080469,-111.93
0.08125,-107.123
0.082031,-99.614
0.082813,-128.46
0.083594,-113.895
0.084375,-121.748
0.085156,-122.253
0.085938,-117.135
0.086719,-79.038
0.0875,-100.573
0.088281,-113.518
0.089062,-116.243
0.089844,-102.209
0.090625,-93.456
0.091406,-117.11
0.092188,-91.678
0.092969,-106.239
0.09375,-105.395
0.094531,-101.392
0.095313,-92.94
0.096094,-101.19
0.096875,-118.696
0.097656,-116.443
0.098438,-114.397
0.099219,-96.955
0.1,-98.952
0.100781,-115.891
0.101562,-101.671
0.102344,-106.906
0.103125,-123.766
0.103906,-117.65
0.104688,-90.17
0.105469,-104.05
0.10625,-100.9
0.107031,-120.612
0.107812,-100.91
0.108594,-103.231
0.109375,-98.229
0.110156,-121.074
0.110938,-99.949
0.111719,-104.576
0.1125,-110.677
0.113281,-98.117
0.114063,-91.115
0.114844,-112.589
0.115625,-95.246
0.116406,-122.328
0.117188,-107.015
0.117969,-111.632
0.11875,-98.108
0.119531,-118.421
0.120312,-104.872
0.121094,-112.179
0.121875,-108.375
0.122656,-101.516
0.123438,-105.842
0.124219,-102.115
0.125,-95.517
0.125781,-99.381
0.126562,-101.855
0.127344,-108.316
0.128125,-101.57
0.128906,-103.181
0.129688,-109.115
0.130469,-99.414
0.13125,-109.647
0.132031,-129.95
0.132812,-108.51
0.133594,-107.23
0.134375,-93.471
0.135156,-93.803
0.135938,-103.093
0.136719,-102.445
0.1375,-115.791
0.138281,-112.189
0.139062,-92.162
0.139844,-109.245
0.140625,-103.794
0.141406,-100.234
0.142188,-98.446
0.142969,-123.019
0.14375,-96.132
0.144531,-89.752
0.145312,-97.188
0.146094,-104.472
0.146875,-108.602
0.147656,-99.152
0.148438,-101.007
0.149219,-94.511
0.15,-94.888
0.150781,-113.001
0.151563,-117.074
0.152344,-109.625
0.153125,-100.549
0.153906,-107.479
0.154688,-101.242
0.155469,-105.439
0.15625,-113.71
0.157031,-120.537
0.157813,-113.144
0.158594,-109.316
0.159375,-94.512
0.160156,-101.214
0.160938,-97.802
0.161719,-106.197
0.1625,-109.749
0.163281,-102.193
0.164062,-104.195
0.164844,-127.752
0.165625,-108.092
0.166406,-109.434
0.167188,-111.647
0.167969,-105.956
0.16875,-95.503
0.169531,-92.902
0.170312,-107.237
0.171094,-119.523
0.171875,-102.013
0.172656,-99.571
0.173438,-104.834
0.174219,-98.508
0.175,-100.7
0.175781,-105.95
0.176562,-107.964
0.177344,-105.168
0.178125,-97.395
0.178906,-100.8
0.179688,-98.019
0.180469,-106.637
0.18125,-100.738
0.182031,-121.803
0.182813,-95.721
0.183594,-98.989
0.184375,-102.175
0.185156,-141.103
0.185938,-101.752
0.186719,-108.216
0.1875,-113.978
0.188281,-108.364
0.189063,-106.893
0.189844,-116.927
0.190625,-99.794
0.191406,-106.357
0.192188,-100.92
0.192969,-108.884
0.19375,-96.297
0.194531,-103.489
0.195312,-103.817
0.196094,-108.588
0.196875,-93.745
0.197656,-118.13
0.198438,-111.794
0.199219,-109.559
0.2,-113.113
0.200781,-128.863
0.201562,-101.4
0.202344,-88.29
0.203125,-102.9
0.203906,-105.199
0.204688,-91.518
0.205469,-106.88
0.20625,-99.211
0.207031,-103.62
0.207812,-96.25
0.208594,-112.417
0.209375,-102.539
0.210156,-96.882
0.210938,-119.132
0.211719,-100.593
0.2125,-106.933
0.213281,-113.044
0.214063,-100.159
0.214844,-100.945
0.215625,-95.907
0.216406,-100.862
0.217188,-114.587
0.217969,-119.398
0.21875,-92.688
0.219531,-101.212
0.220313,-97.159
0.221094,-108.1
0.221875,-106.273
0.222656,-109.517
