cycle,trim0,trim1,trim2,trim3,trim4,trim5
0,0,0,0,0,0,0
2000,0,0,0,0,0,0
4000,0,0,0,0,0,0
6000,0,0,0,0,0,0
8000,0,0,0,0,0,0
10000,0,0,0,0,0,0
12000,0,0,1,1,0,0
14000,1,0,1,1,1,0
16000,1,1,1,1,1,0
18000,1,1,1,1,1,0
20000,1,1,1,1,1,1
22000,1,1,1,1,1,1
24000,1,1,1,1,1,1
26000,1,1,1,1,1,1
28000,1,2,2,2,1,1
30000,2,2,2,2,2,1
32000,2,2,2,2,2,1
34000,2,2,2,2,2,1
36000,2,2,2,2,2,2
38000,2,2,2,2,2,2
40000,2,2,2,2,2,2
42000,2,2,2,2,2,2
44000,2,2,2,3,2,2
46000,3,2,3,3,2,2
48000,3,3,3,3,2,2
50000,3,3,3,3,3,2
52000,3,3,3,3,3,3
54000,3,3,3,3,3,3
56000,3,3,3,3,3,3
58000,3,3,3,3,3,3
60000,4,3,3,3,3,3
62000,4,3,3,3,3,3
64000,4,4,4,4,4,4
66000,4,4,4,4,4,4
68000,4,4,4,4,4,4
70000,4,4,4,4,4,4
72000,4,4,4,4,4,4
74000,5,4,4,5,4,4
76000,5,4,5,5,5,4
78000,5,4,5,5,5,4
80000,5,4,5,5,5,4
82000,5,5,5,5,5,4
84000,5,5,5,5,5,5
86000,5,5,5,5,5,5
88000,6,5,5,5,5,5
90000,6,5,5,5,5,5
92000,6,6,6,6,5,5
94000,6,6,6,6,6,5
96000,6,6,6,6,6,5
98000,6,6,6,6,6,5
100000,6,6,6,6,6,6
102000,6,6,6,6,6,6
104000,6,6,6,6,6,6
106000,7,6,6,6,6,6
108000,7,6,7,7,6,6
110000,7,6,7,7,6,6
112000,7,7,7,7,6,6
114000,7,7,7,7,7,7
116000,7,7,7,7,7,7
118000,7,7,7,7,7,7
120000,8,7,7,7,7,7
122000,8,7,7,7,7,7
124000,8,7,7,7,7,7
126000,8,7,7,8,7,7
128000,8,8,8,8,8,8
130000,8,8,8,8,8,8
132000,8,8,8,8,8,8
134000,9,8,8,8,8,8
136000,9,8,8,8,8,8
138000,9,8,8,8,8,8
140000,9,8,8,9,9,8
142000,9,8,9,9,9,8
144000,9,9,9,9,9,9
146000,9,9,9,9,9,9
148000,10,9,9,9,9,9
150000,10,9,9,9,9,9
152000,10,9,9,9,9,9
154000,10,9,9,9,9,9
156000,10,9,10,10,10,9
158000,10,10,10,10,10,9
160000,10,10,10,10,10,9
162000,10,10,10,10,10,9
164000,11,10,10,10,10,10
166000,11,10,10,10,10,10
168000,11,10,10,10,10,10
170000,11,10,10,10,10,10
172000,11,10,11,11,10,10
174000,11,11,11,11,10,10
176000,11,11,11,11,10,10
178000,11,11,11,11,11,11
180000,12,11,11,11,11,11
182000,12,11,11,11,11,11
184000,12,11,11,11,11,11
186000,12,11,11,11,11,11
188000,12,11,11,12,11,11
190000,12,12,12,12,11,11
192000,12,12,12,12,12,12
194000,12,12,12,12,12,12
196000,13,12,12,12,12,12
198000,13,12,12,12,12,12
200000,13,12,12,12,12,12
202000,13,12,12,12,12,12
204000,13,12,12,13,13,12
206000,13,12,13,13,13,13
208000,13,13,13,13,13,13
210000,14,13,13,13,13,13
212000,14,13,13,13,13,13
214000,14,13,13,13,13,13
216000,14,13,13,13,13,13
218000,14,13,13,14,13,13
220000,14,13,14,14,14,13
222000,14,14,14,14,14,13
224000,14,14,14,14,14,14
226000,15,14,14,14,14,14
228000,15,14,14,14,14,14
230000,15,14,14,14,14,14
232000,15,14,14,14,14,14
234000,15,14,14,14,14,14
236000,15,15,14,15,14,14
238000,15,15,14,15,14,14
240000,16,15,14,15,15,15
242000,16,15,14,15,15,15
244000,16,15,14,15,15,15
246000,16,15,14,15,15,15
248000,16,15,14,15,15,15
250000,16,15,14,15,15,15
252000,16,15,15,15,15,15
254000,17,15,15,16,15,15
256000,17,15,15,16,15,15
258000,17,16,15,16,15,15
260000,17,16,15,16,15,15
262000,17,16,15,16,15,15
264000,17,16,15,16,15,15
266000,17,16,15,16,15,15
268000,18,16,15,16,15,15
270000,18,16,15,16,15,15
272000,18,16,15,16,15,15
274000,18,16,15,16,15,15
276000,18,16,15,16,15,15
278000,18,16,15,16,15,15
280000,18,16,15,16,15,15
282000,19,16,15,16,15,15
284000,19,16,16,16,15,15
286000,19,16,16,16,15,15
288000,19,16,16,16,15,15
290000,19,17,16,16,15,15
292000,19,17,16,16,15,15
294000,19,17,16,16,15,15
296000,19,17,16,16,15,15
298000,19,17,16,16,15,15
300000,20,17,16,16,15,15
302000,20,17,16,16,15,15
304000,20,17,16,16,15,15
306000,20,17,16,16,15,15
308000,20,17,16,16,15,15
310000,20,17,16,16,15,15
312000,20,17,16,16,15,15
314000,20,17,16,16,15,15
316000,20,17,17,16,15,15
318000,20,17,17,16,15,15
320000,20,18,17,16,15,15
322000,20,18,17,16,15,15
324000,20,18,17,16,15,15
326000,20,18,17,16,15,15
328000,20,18,17,16,15,15
330000,20,18,17,16,15,15
332000,20,18,17,16,15,15
334000,19,18,17,16,15,15
336000,19,18,17,16,15,15
338000,19,18,17,16,15,15
340000,19,18,17,16,15,15
342000,19,18,17,16,15,15
344000,19,18,17,16,15,15
346000,19,18,17,16,15,15
348000,20,18,18,16,15,15
350000,20,18,18,16,15,15
352000,20,18,18,16,15,15
354000,20,19,18,16,15,15
356000,20,19,18,16,15,15
358000,20,19,18,16,15,15
360000,20,19,18,16,15,15
362000,20,19,18,16,15,15
364000,20,19,18,16,15,15
366000,20,19,18,16,15,15
368000,20,19,18,16,15,15
370000,20,19,18,16,15,15
372000,20,19,18,16,15,15
374000,20,19,18,16,15,15
376000,20,19,18,16,15,15
378000,20,19,18,16,15,15
380000,19,19,18,16,15,15
382000,19,19,18,16,15,15
384000,19,19,18,16,15,15
384243,19,20,18,16,15,15
