sample_index,code,vin,conversion_time_ps
0,16,0.700000000000,491
1,19,0.748111686053,434
2,22,0.793754220988,458
3,25,0.834585173568,432
4,27,0.868509048905,493
5,29,0.893784831840,509
6,30,0.909115337991,501
7,31,0.913713786859,490
8,30,0.907344180370,505
9,29,0.890333414594,428
10,27,0.863554503027,445
11,25,0.828381772468,501
12,22,0.786620330869,503
13,18,0.740413426962,500
14,15,0.692132456096,430
15,12,0.644255257296,494
16,8,0.599238947503,504
17,6,0.559393819308,492
18,3,0.526764773874,465
19,1,0.503026374091,492
20,1,0.489396903939,493
21,0,0.486575844652,490
22,1,0.494707976475,437
23,2,0.513375948363,493
24,4,0.541621696955,500
25,7,0.577995615567,462
26,10,0.620630949793,450
27,13,0.667339601651,463
28,17,0.715724425469,500
29,20,0.763302252362,427
30,23,0.807631329521,453
31,26,0.846436633986,435
32,28,0.877726629630,448
33,30,0.899895475249,508
34,31,0.911805438323,490
35,31,0.912845284842,490
36,30,0.902961648602,432
37,28,0.882661770013,493
38,26,0.852987463904,500
39,24,0.815461652296,508
40,21,0.772010206163,500
41,17,0.724863107357,510
42,14,0.676440003191,461
43,10,0.629226027144,494
44,7,0.585644258749,501
45,5,0.547931368159,506
46,3,0.518022827474,495
47,1,0.497453579920,436
48,0,0.487279264674,490
49,0,0.488022040153,490
50,1,0.499643786204,512
51,3,0.521548060472,468
52,5,0.552610708562,427
53,8,0.591237557031,497
54,11,0.635446228333,435
55,14,0.682967878884,508
56,18,0.731363638915,510
57,21,0.778149778281,431
58,24,0.820925174555,437
59,27,0.857494541598,507
60,29,0.885981094349,510
61,30,0.904922867759,432
62,31,0.913347746632,490
63,30,0.910823355786,492
64,30,0.897479250074,494
65,28,0.874000265475,444
66,26,0.841591372460,496
67,23,0.801915835426,512
68,20,0.757009851910,495
69,16,0.709178052420,452
70,13,0.660875223950,509
71,9,0.614580327283,496
72,6,0.572669273665,495
73,4,0.537292990103,432
74,2,0.510267031139,427
75,1,0.492978402349,487
76,0,0.486314377504,490
77,1,0.490616962585,499
78,2,0.505665343614,505
79,3,0.530687219102,494
80,6,0.564398435510,449
81,9,0.605068891598,510
82,12,0.650611329355,428
83,15,0.698688454656,498
84,19,0.746832890084,459
85,22,0.792573803780,434
86,25,0.833563715590,427
87,27,0.867698972642,497
88,29,0.893227711405,502
89,30,0.908839765493,502
90,31,0.913733905018,490
91,30,0.907658956698,510
92,29,0.890926694381,433
93,27,0.864395838422,469
94,25,0.829427985100,507
95,22,0.787817727814,512
96,18,0.741700556331,494
97,15,0.693443260821,428
98,12,0.645522465260,500
99,8,0.600397524030,497
100,6,0.560384304819,496
101,3,0.527536335430,498
102,2,0.503539414201,493
103,1,0.489625092752,494
104,0,0.486507471236,490
105,1,0.494346549837,444
106,2,0.512740017366,466
107,4,0.540743898362,461
108,7,0.576920999084,512
109,10,0.619414666066,494
110,13,0.666044071862,434
111,17,0.714416137807,493
112,20,0.762048349763,435
113,23,0.806496163815,433
114,26,0.845478463279,453
115,28,0.876994628424,434
116,30,0.899427210751,505
117,31,0.911624942444,490
118,31,0.912961820854,490
119,30,0.903369235732,429
120,29,0.883339490388,494
121,26,0.853900536077,495
122,24,0.816563216275,481
123,21,0.773243728325,508
124,17,0.726165281824,502
125,14,0.677744000760,434
126,11,0.630464925050,495
127,7,0.586754475223,495
128,5,0.548855925521,508
129,3,0.518714276298,499
130,1,0.497876434200,444
131,0,0.487411823006,490
132,0,0.487857499480,490
133,1,0.499190590955,487
134,3,0.520829469188,502
135,5,0.551663600235,430
136,8,0.590110538429,506
137,11,0.634197139441,464
138,14,0.681660824486,472
139,18,0.730065698657,501
140,21,0.776927564059,428
141,24,0.819841411912,427
142,27,0.856604850570,501
143,29,0.885331134979,505
144,30,0.904545996763,429
145,31,0.913263305495,490
146,31,0.911035678131,491
147,30,0.897977439257,497
148,28,0.874758753811,433
149,26,0.842571233392,501
150,23,0.803066781282,460
151,20,0.758272814727,502
152,16,0.710488215387,506
153,13,0.662165347887,469
154,10,0.615784201437,492
155,7,0.573725113728,493
156,4,0.538146609059,427
157,2,0.510874620210,430
158,1,0.493308779314,473
159,0,0.486350587009,490
160,1,0.490357146314,498
161,2,0.505122835659,502
162,3,0.529889861640,498
163,6,0.563387149910,483
164,9,0.603895578286,504
165,12,0.649336204219,438
166,15,0.697376958691,506
167,19,0.745552330882,511
168,22,0.791389901221,427
169,25,0.832537229014,432
170,27,0.866882582607,501
171,29,0.892663316056,475
172,30,0.908556330296,504
173,31,0.913745976217,490
174,30,0.907965914784,508
175,29,0.891512785885,442
176,27,0.865230984406,509
177,25,0.830469324842,488
178,22,0.789011818471,460
179,19,0.742986115697,495
180,15,0.694754312403,444
181,12,0.646791724272,509
182,8,0.601559850533,493
183,6,0.561380046782,502
184,3,0.528314390146,508
185,2,0.504059850942,496
186,1,0.489861202062,495
187,0,0.486447135693,490
188,1,0.493992865936,451
189,2,0.512111136601,448
190,4,0.539872095671,441
191,7,0.575851016457,504
192,10,0.618201416332,505
193,13,0.664749820495,427
194,16,0.713107307385,496
195,20,0.760792111079,462
196,23,0.805356988589,428
197,26,0.844514815389,489
198,28,0.876255963470,428
199,30,0.898951437931,502
200,31,0.911436479005,490
201,31,0.913070338973,490
202,30,0.903769166126,427
203,29,0.884010308134,497
204,27,0.854807813981,493
205,24,0.817660391715,445
206,21,0.774474492903,477
207,17,0.727466471182,495
208,14,0.679048836255,427
209,11,0.631706440913,502
210,8,0.587868955327,493
211,5,0.549786173372,464
212,3,0.519412550428,503
213,1,0.498306898318,454
214,0,0.487552385162,490
215,0,0.487700945851,490
216,1,0.498744956067,469
217,3,0.520117623573,508
218,5,0.550722076689,441
219,8,0.588987657102,499
220,11,0.632950527990,510
221,14,0.680354460549,438
222,18,0.728766626443,494
223,21,0.775702453559,441
224,24,0.818753137308,430
225,27,0.855709263458,496
226,29,0.884674197996,501
227,30,0.904161424725,427
228,31,0.913170835115,490
229,31,0.911240055102,490
230,30,0.898468174701,499
231,28,0.875510662579,427
232,26,0.843545726599,508
233,23,0.804213846732,435
234,20,0.759533583606,510
235,16,0.711797983480,503
236,13,0.663456896277,437
237,10,0.616991246268,498
238,7,0.574785707969,498
239,4,0.539006321704,430
240,2,0.511489329746,437
241,1,0.493646938087,461
242,0,0.486394840294,490
243,1,0.490105222978,496
244,2,0.504587664718,499
245,3,0.529098908728,503
246,6,0.562381007707,508
247,9,0.602725883252,497
